
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
108444,um,Surface,Distance from Origin,1,305,
108485,um,Surface,Distance from Origin,1,306,
108630,um,Surface,Distance from Origin,1,307,
108467,um,Surface,Distance from Origin,1,308,
108399,um,Surface,Distance from Origin,1,309,
108495,um,Surface,Distance from Origin,1,310,
108376,um,Surface,Distance from Origin,1,311,
108507,um,Surface,Distance from Origin,1,312,
108629,um,Surface,Distance from Origin,1,313,
108609,um,Surface,Distance from Origin,1,314,
108601,um,Surface,Distance from Origin,1,315,
108333,um,Surface,Distance from Origin,1,316,
108418,um,Surface,Distance from Origin,1,317,
108369,um,Surface,Distance from Origin,1,318,
108320,um,Surface,Distance from Origin,1,319,
108408,um,Surface,Distance from Origin,1,320,
108451,um,Surface,Distance from Origin,1,321,
108575,um,Surface,Distance from Origin,1,322,
108563,um,Surface,Distance from Origin,1,323,
108543,um,Surface,Distance from Origin,1,324,
108309,um,Surface,Distance from Origin,1,325,
108408,um,Surface,Distance from Origin,1,326,
108353,um,Surface,Distance from Origin,1,327,
108304,um,Surface,Distance from Origin,1,328,
108310,um,Surface,Distance from Origin,1,329,
108549,um,Surface,Distance from Origin,1,330,
108408,um,Surface,Distance from Origin,1,331,
108423,um,Surface,Distance from Origin,1,332,
108327,um,Surface,Distance from Origin,1,333,
108305,um,Surface,Distance from Origin,1,334,
108266,um,Surface,Distance from Origin,1,335,
108449,um,Surface,Distance from Origin,1,336,
108425,um,Surface,Distance from Origin,1,337,
108287,um,Surface,Distance from Origin,1,338,
108504,um,Surface,Distance from Origin,1,339,
108405,um,Surface,Distance from Origin,1,340,
108350,um,Surface,Distance from Origin,1,341,
108413,um,Surface,Distance from Origin,1,342,
108297,um,Surface,Distance from Origin,1,343,
108288,um,Surface,Distance from Origin,1,344,
108283,um,Surface,Distance from Origin,1,345,
108343,um,Surface,Distance from Origin,1,346,
108335,um,Surface,Distance from Origin,1,347,
108290,um,Surface,Distance from Origin,1,348,
108393,um,Surface,Distance from Origin,1,349,
108300,um,Surface,Distance from Origin,1,350,
108337,um,Surface,Distance from Origin,1,351,
108349,um,Surface,Distance from Origin,1,352,
108433,um,Surface,Distance from Origin,1,353,
108336,um,Surface,Distance from Origin,1,354,
108292,um,Surface,Distance from Origin,1,355,
108332,um,Surface,Distance from Origin,1,356,
108268,um,Surface,Distance from Origin,1,357,
108295,um,Surface,Distance from Origin,1,358,
108439,um,Surface,Distance from Origin,1,359,
108444,um,Surface,Distance from Origin,1,360,
108226,um,Surface,Distance from Origin,1,361,
108336,um,Surface,Distance from Origin,1,362,
108441,um,Surface,Distance from Origin,1,363,
108331,um,Surface,Distance from Origin,1,364,
108355,um,Surface,Distance from Origin,1,365,
108340,um,Surface,Distance from Origin,1,366,
108400,um,Surface,Distance from Origin,1,367,
108420,um,Surface,Distance from Origin,1,368,
108251,um,Surface,Distance from Origin,1,369,
108266,um,Surface,Distance from Origin,1,370,
108318,um,Surface,Distance from Origin,1,371,
108278,um,Surface,Distance from Origin,1,372,
108372,um,Surface,Distance from Origin,1,373,
108326,um,Surface,Distance from Origin,1,374,
108237,um,Surface,Distance from Origin,1,375,
108248,um,Surface,Distance from Origin,1,376,
108249,um,Surface,Distance from Origin,1,377,
108227,um,Surface,Distance from Origin,1,378,
108250,um,Surface,Distance from Origin,1,379,
108161,um,Surface,Distance from Origin,1,380,
108193,um,Surface,Distance from Origin,1,381,
108208,um,Surface,Distance from Origin,1,382,
108185,um,Surface,Distance from Origin,1,383,
107760,um,Surface,Distance from Origin,1,384,
107769,um,Surface,Distance from Origin,1,385,
107748,um,Surface,Distance from Origin,1,386,
107769,um,Surface,Distance from Origin,1,387,
107799,um,Surface,Distance from Origin,1,388,
107772,um,Surface,Distance from Origin,1,389,
107739,um,Surface,Distance from Origin,1,390,
107752,um,Surface,Distance from Origin,1,391,
107729,um,Surface,Distance from Origin,1,392,
107712,um,Surface,Distance from Origin,1,393,
107734,um,Surface,Distance from Origin,1,394,
107757,um,Surface,Distance from Origin,1,395,
107675,um,Surface,Distance from Origin,1,396,
107687,um,Surface,Distance from Origin,1,397,
107638,um,Surface,Distance from Origin,1,398,
107660,um,Surface,Distance from Origin,1,399,
107711,um,Surface,Distance from Origin,1,400,
107682,um,Surface,Distance from Origin,1,401,
107667,um,Surface,Distance from Origin,1,402,
107686,um,Surface,Distance from Origin,1,403,
107626,um,Surface,Distance from Origin,1,404,
107637,um,Surface,Distance from Origin,1,405,
107654,um,Surface,Distance from Origin,1,406,
107669,um,Surface,Distance from Origin,1,407,
107673,um,Surface,Distance from Origin,1,408,
107657,um,Surface,Distance from Origin,1,409,
107607,um,Surface,Distance from Origin,1,410,
107618,um,Surface,Distance from Origin,1,411,
107650,um,Surface,Distance from Origin,1,412,
107638,um,Surface,Distance from Origin,1,413,
107626,um,Surface,Distance from Origin,1,414,
107607,um,Surface,Distance from Origin,1,415,
107644,um,Surface,Distance from Origin,1,416,
107642,um,Surface,Distance from Origin,1,417,
107640,um,Surface,Distance from Origin,1,418,
107636,um,Surface,Distance from Origin,1,419,
107613,um,Surface,Distance from Origin,1,420,
107596,um,Surface,Distance from Origin,1,421,
107603,um,Surface,Distance from Origin,1,422,
107598,um,Surface,Distance from Origin,1,423,
107594,um,Surface,Distance from Origin,1,424,
107623,um,Surface,Distance from Origin,1,425,
107599,um,Surface,Distance from Origin,1,426,
107623,um,Surface,Distance from Origin,1,427,
