
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,ID,
0.559017,um,Surface,1,238,
0.559017,um,Surface,1,239,
0.559017,um,Surface,1,240,
0.559017,um,Surface,1,241,
0.559017,um,Surface,1,242,
0.559017,um,Surface,1,243,
0.559017,um,Surface,1,244,
0.559017,um,Surface,1,245,
0.559017,um,Surface,1,246,
0.559017,um,Surface,1,247,
0.559017,um,Surface,1,248,
0.559017,um,Surface,1,249,
0.559017,um,Surface,1,250,
0.559017,um,Surface,1,251,
0.559017,um,Surface,1,252,
0.559017,um,Surface,1,253,
0.559017,um,Surface,1,254,
0.559017,um,Surface,1,255,
0.559017,um,Surface,1,256,
0.559017,um,Surface,1,257,
0.559017,um,Surface,1,258,
0.559017,um,Surface,1,259,
0.559017,um,Surface,1,260,
0.559017,um,Surface,1,261,
0.559017,um,Surface,1,262,
0.559017,um,Surface,1,263,
0.559017,um,Surface,1,264,
0.559017,um,Surface,1,265,
0.559017,um,Surface,1,266,
0.559017,um,Surface,1,267,
0.559017,um,Surface,1,268,
0.559017,um,Surface,1,269,
0.559017,um,Surface,1,270,
0.559017,um,Surface,1,271,
0.559017,um,Surface,1,272,
0.559017,um,Surface,1,273,
0.559017,um,Surface,1,274,
0.559017,um,Surface,1,275,
0.559017,um,Surface,1,276,
0.559017,um,Surface,1,277,
0.559017,um,Surface,1,278,
0.559017,um,Surface,1,279,
0.559017,um,Surface,1,280,
0.559017,um,Surface,1,281,
0.559017,um,Surface,1,282,
0.559017,um,Surface,1,283,
0.559017,um,Surface,1,284,
0.559017,um,Surface,1,285,
0.559017,um,Surface,1,286,
0.559017,um,Surface,1,287,
0.559017,um,Surface,1,288,
0.559017,um,Surface,1,289,
0.559017,um,Surface,1,290,
0.559017,um,Surface,1,291,
0.559017,um,Surface,1,292,
0.559017,um,Surface,1,293,
0.559017,um,Surface,1,294,
0.559017,um,Surface,1,295,
0.559017,um,Surface,1,296,
0.559017,um,Surface,1,297,
0.559017,um,Surface,1,298,
0.559017,um,Surface,1,299,
0.559017,um,Surface,1,300,
0.559017,um,Surface,1,301,
0.559017,um,Surface,1,302,
0.559017,um,Surface,1,303,
0.559017,um,Surface,1,304,
0.559017,um,Surface,1,305,
0.559017,um,Surface,1,306,
0.559017,um,Surface,1,307,
0.559017,um,Surface,1,308,
0.559017,um,Surface,1,309,
0.559017,um,Surface,1,310,
0.559017,um,Surface,1,311,
0.559017,um,Surface,1,312,
0.559017,um,Surface,1,313,
0.559017,um,Surface,1,314,
0.559017,um,Surface,1,315,
0.559017,um,Surface,1,316,
0.559017,um,Surface,1,317,
0.559017,um,Surface,1,318,
0.559017,um,Surface,1,319,
0.559017,um,Surface,1,320,
0.559017,um,Surface,1,321,
0.559017,um,Surface,1,322,
0.559017,um,Surface,1,323,
0.559017,um,Surface,1,324,
0.559017,um,Surface,1,325,
0.559017,um,Surface,1,326,
0.559017,um,Surface,1,327,
0.559017,um,Surface,1,328,
0.559017,um,Surface,1,329,
0.559017,um,Surface,1,330,
0.559017,um,Surface,1,331,
0.559017,um,Surface,1,332,
0.559017,um,Surface,1,333,
0.559017,um,Surface,1,334,
0.559017,um,Surface,1,335,
0.559017,um,Surface,1,336,
0.559017,um,Surface,1,337,
0.559017,um,Surface,1,338,
0.559017,um,Surface,1,339,
0.559017,um,Surface,1,340,
0.559017,um,Surface,1,341,
0.559017,um,Surface,1,342,
0.559017,um,Surface,1,343,
0.559017,um,Surface,1,344,
0.559017,um,Surface,1,345,
0.559017,um,Surface,1,346,
0.559017,um,Surface,1,347,
0.559017,um,Surface,1,348,
0.559017,um,Surface,1,349,
0.559017,um,Surface,1,350,
0.559017,um,Surface,1,351,
0.559017,um,Surface,1,352,
0.559017,um,Surface,1,353,
0.559017,um,Surface,1,354,
0.559017,um,Surface,1,355,
0.559017,um,Surface,1,356,
0.559017,um,Surface,1,357,
0.559017,um,Surface,1,358,
0.559017,um,Surface,1,359,
0.559017,um,Surface,1,360,
0.559017,um,Surface,1,361,
0.559017,um,Surface,1,362,
0.559017,um,Surface,1,363,
0.559017,um,Surface,1,364,
0.559017,um,Surface,1,365,
0.559017,um,Surface,1,366,
0.559017,um,Surface,1,367,
0.559017,um,Surface,1,368,
0.559017,um,Surface,1,369,
0.559017,um,Surface,1,370,
0.559017,um,Surface,1,371,
0.559017,um,Surface,1,372,
0.559017,um,Surface,1,373,
0.559017,um,Surface,1,374,
0.559017,um,Surface,1,375,
0.559017,um,Surface,1,376,
0.559017,um,Surface,1,377,
0.559017,um,Surface,1,378,
0.559017,um,Surface,1,379,
0.559017,um,Surface,1,380,
0.559017,um,Surface,1,381,
0.559017,um,Surface,1,382,
0.559017,um,Surface,1,383,
0.559017,um,Surface,1,384,
0.559017,um,Surface,1,385,
0.559017,um,Surface,1,386,
0.559017,um,Surface,1,387,
0.559017,um,Surface,1,388,
0.559017,um,Surface,1,389,
0.559017,um,Surface,1,390,
0.559017,um,Surface,1,391,
0.559017,um,Surface,1,392,
0.559017,um,Surface,1,393,
0.559017,um,Surface,1,394,
0.559017,um,Surface,1,395,
0.559017,um,Surface,1,396,
0.559017,um,Surface,1,397,
0.559017,um,Surface,1,398,
0.559017,um,Surface,1,399,
0.559017,um,Surface,1,400,
