
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,ID,
102906,35432.1,0.5,um,Surface,Center of Homogeneous Mass,1,238,
102896,35445.1,0.5,um,Surface,Center of Homogeneous Mass,1,239,
103004,35346.2,0.5,um,Surface,Center of Homogeneous Mass,1,240,
102958,35385.3,0.5,um,Surface,Center of Homogeneous Mass,1,241,
102890,35458,0.5,um,Surface,Center of Homogeneous Mass,1,242,
103051,35306.4,0.5,um,Surface,Center of Homogeneous Mass,1,243,
102963,35413.4,0.5,um,Surface,Center of Homogeneous Mass,1,244,
102979,35414.7,0.5,um,Surface,Center of Homogeneous Mass,1,245,
102972,35423.2,0.5,um,Surface,Center of Homogeneous Mass,1,246,
103012,35401.6,0.5,um,Surface,Center of Homogeneous Mass,1,247,
102846,35585,0.5,um,Surface,Center of Homogeneous Mass,1,248,
102866,35584,0.5,um,Surface,Center of Homogeneous Mass,1,249,
102888,35564.3,0.5,um,Surface,Center of Homogeneous Mass,1,250,
102898,35566.8,0.5,um,Surface,Center of Homogeneous Mass,1,251,
102962,35512.1,0.5,um,Surface,Center of Homogeneous Mass,1,252,
102966,35521.4,0.5,um,Surface,Center of Homogeneous Mass,1,253,
102961,35529.8,0.5,um,Surface,Center of Homogeneous Mass,1,254,
102913,35600.1,0.5,um,Surface,Center of Homogeneous Mass,1,255,
102897,35430.6,0.5,um,Surface,Center of Homogeneous Mass,1,256,
102836,35494.7,0.5,um,Surface,Center of Homogeneous Mass,1,257,
102879,35421.6,0.5,um,Surface,Center of Homogeneous Mass,1,258,
102977,35300.7,0.5,um,Surface,Center of Homogeneous Mass,1,259,
103049,35213.5,0.5,um,Surface,Center of Homogeneous Mass,1,260,
103009,35257.1,0.5,um,Surface,Center of Homogeneous Mass,1,261,
102966,35279.6,0.5,um,Surface,Center of Homogeneous Mass,1,262,
102971,35230,0.5,um,Surface,Center of Homogeneous Mass,1,263,
103039,35163.3,0.5,um,Surface,Center of Homogeneous Mass,1,264,
103060,35159.8,0.5,um,Surface,Center of Homogeneous Mass,1,265,
103054,35106.2,0.5,um,Surface,Center of Homogeneous Mass,1,266,
103033,35146.5,0.5,um,Surface,Center of Homogeneous Mass,1,267,
103013,35163.8,0.5,um,Surface,Center of Homogeneous Mass,1,268,
102997,35187.4,0.5,um,Surface,Center of Homogeneous Mass,1,269,
103014,35138,0.5,um,Surface,Center of Homogeneous Mass,1,270,
102975,35182.1,0.5,um,Surface,Center of Homogeneous Mass,1,271,
102992,35034.3,0.5,um,Surface,Center of Homogeneous Mass,1,272,
102962,35124.4,0.5,um,Surface,Center of Homogeneous Mass,1,273,
102981,35157.6,0.5,um,Surface,Center of Homogeneous Mass,1,274,
102955,34934,0.5,um,Surface,Center of Homogeneous Mass,1,275,
102953,34953.1,0.5,um,Surface,Center of Homogeneous Mass,1,276,
102861,34971.7,0.5,um,Surface,Center of Homogeneous Mass,1,277,
102940,34911.6,0.5,um,Surface,Center of Homogeneous Mass,1,278,
102850,35001.3,0.5,um,Surface,Center of Homogeneous Mass,1,279,
102925,34933.4,0.5,um,Surface,Center of Homogeneous Mass,1,280,
102951,34917.9,0.5,um,Surface,Center of Homogeneous Mass,1,281,
102914,34902.7,0.5,um,Surface,Center of Homogeneous Mass,1,282,
102930,34890.5,0.5,um,Surface,Center of Homogeneous Mass,1,283,
102624,35210.5,0.5,um,Surface,Center of Homogeneous Mass,1,284,
102982,34851.9,0.5,um,Surface,Center of Homogeneous Mass,1,285,
102882,34949.2,0.5,um,Surface,Center of Homogeneous Mass,1,286,
102603,35195.5,0.5,um,Surface,Center of Homogeneous Mass,1,287,
102952,34850.4,0.5,um,Surface,Center of Homogeneous Mass,1,288,
102857,34948,0.5,um,Surface,Center of Homogeneous Mass,1,289,
102952,34857.8,0.5,um,Surface,Center of Homogeneous Mass,1,290,
102590,35221.1,0.5,um,Surface,Center of Homogeneous Mass,1,291,
102890,34884.7,0.5,um,Surface,Center of Homogeneous Mass,1,292,
102557,35215.4,0.5,um,Surface,Center of Homogeneous Mass,1,293,
102563,35222,0.5,um,Surface,Center of Homogeneous Mass,1,294,
102889,34858.8,0.5,um,Surface,Center of Homogeneous Mass,1,295,
102883,34868.4,0.5,um,Surface,Center of Homogeneous Mass,1,296,
102947,34819.8,0.5,um,Surface,Center of Homogeneous Mass,1,297,
102822,34900.2,0.5,um,Surface,Center of Homogeneous Mass,1,298,
102864,34860.5,0.5,um,Surface,Center of Homogeneous Mass,1,299,
102856,34874.3,0.5,um,Surface,Center of Homogeneous Mass,1,300,
102913,34822.6,0.5,um,Surface,Center of Homogeneous Mass,1,301,
102728,34986.2,0.5,um,Surface,Center of Homogeneous Mass,1,302,
102787,34935.3,0.5,um,Surface,Center of Homogeneous Mass,1,303,
102668,35024.6,0.5,um,Surface,Center of Homogeneous Mass,1,304,
102608,35094,0.5,um,Surface,Center of Homogeneous Mass,1,305,
102677,35020.5,0.5,um,Surface,Center of Homogeneous Mass,1,306,
102907,34792.7,0.5,um,Surface,Center of Homogeneous Mass,1,307,
102646,35058,0.5,um,Surface,Center of Homogeneous Mass,1,308,
102535,35169.9,0.5,um,Surface,Center of Homogeneous Mass,1,309,
102688,35019.9,0.5,um,Surface,Center of Homogeneous Mass,1,310,
102518,35147.5,0.5,um,Surface,Center of Homogeneous Mass,1,311,
102729,34937.8,0.5,um,Surface,Center of Homogeneous Mass,1,312,
102922,34747.4,0.5,um,Surface,Center of Homogeneous Mass,1,313,
