
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
21,,Surface,2,Image 1,1,238,
20,,Surface,2,Image 1,1,239,
42,,Surface,2,Image 1,1,240,
23,,Surface,2,Image 1,1,241,
17,,Surface,2,Image 1,1,242,
28,,Surface,2,Image 1,1,243,
39,,Surface,2,Image 1,1,244,
41,,Surface,2,Image 1,1,245,
20,,Surface,2,Image 1,1,246,
52,,Surface,2,Image 1,1,247,
7,,Surface,2,Image 1,1,248,
26,,Surface,2,Image 1,1,249,
39,,Surface,2,Image 1,1,250,
37,,Surface,2,Image 1,1,251,
40,,Surface,2,Image 1,1,252,
23,,Surface,2,Image 1,1,253,
25,,Surface,2,Image 1,1,254,
33,,Surface,2,Image 1,1,255,
7,,Surface,2,Image 1,1,256,
16,,Surface,2,Image 1,1,257,
21,,Surface,2,Image 1,1,258,
17,,Surface,2,Image 1,1,259,
13,,Surface,2,Image 1,1,260,
52,,Surface,2,Image 1,1,261,
15,,Surface,2,Image 1,1,262,
21,,Surface,2,Image 1,1,263,
18,,Surface,2,Image 1,1,264,
7,,Surface,2,Image 1,1,265,
24,,Surface,2,Image 1,1,266,
23,,Surface,2,Image 1,1,267,
9,,Surface,2,Image 1,1,268,
27,,Surface,2,Image 1,1,269,
18,,Surface,2,Image 1,1,270,
18,,Surface,2,Image 1,1,271,
94,,Surface,2,Image 1,1,272,
38,,Surface,2,Image 1,1,273,
31,,Surface,2,Image 1,1,274,
76,,Surface,2,Image 1,1,275,
17,,Surface,2,Image 1,1,276,
34,,Surface,2,Image 1,1,277,
9,,Surface,2,Image 1,1,278,
47,,Surface,2,Image 1,1,279,
28,,Surface,2,Image 1,1,280,
38,,Surface,2,Image 1,1,281,
21,,Surface,2,Image 1,1,282,
17,,Surface,2,Image 1,1,283,
35,,Surface,2,Image 1,1,284,
24,,Surface,2,Image 1,1,285,
25,,Surface,2,Image 1,1,286,
31,,Surface,2,Image 1,1,287,
1,,Surface,2,Image 1,1,288,
11,,Surface,2,Image 1,1,289,
7,,Surface,2,Image 1,1,290,
22,,Surface,2,Image 1,1,291,
39,,Surface,2,Image 1,1,292,
84,,Surface,2,Image 1,1,293,
109,,Surface,2,Image 1,1,294,
39,,Surface,2,Image 1,1,295,
17,,Surface,2,Image 1,1,296,
39,,Surface,2,Image 1,1,297,
18,,Surface,2,Image 1,1,298,
20,,Surface,2,Image 1,1,299,
29,,Surface,2,Image 1,1,300,
45,,Surface,2,Image 1,1,301,
29,,Surface,2,Image 1,1,302,
29,,Surface,2,Image 1,1,303,
20,,Surface,2,Image 1,1,304,
33,,Surface,2,Image 1,1,305,
18,,Surface,2,Image 1,1,306,
25,,Surface,2,Image 1,1,307,
26,,Surface,2,Image 1,1,308,
37,,Surface,2,Image 1,1,309,
41,,Surface,2,Image 1,1,310,
59,,Surface,2,Image 1,1,311,
49,,Surface,2,Image 1,1,312,
18,,Surface,2,Image 1,1,313,
1,,Surface,2,Image 1,1,314,
30,,Surface,2,Image 1,1,315,
40,,Surface,2,Image 1,1,316,
38,,Surface,2,Image 1,1,317,
23,,Surface,2,Image 1,1,318,
110,,Surface,2,Image 1,1,319,
14,,Surface,2,Image 1,1,320,
40,,Surface,2,Image 1,1,321,
48,,Surface,2,Image 1,1,322,
8,,Surface,2,Image 1,1,323,
30,,Surface,2,Image 1,1,324,
28,,Surface,2,Image 1,1,325,
78,,Surface,2,Image 1,1,326,
45,,Surface,2,Image 1,1,327,
25,,Surface,2,Image 1,1,328,
86,,Surface,2,Image 1,1,329,
35,,Surface,2,Image 1,1,330,
39,,Surface,2,Image 1,1,331,
80,,Surface,2,Image 1,1,332,
26,,Surface,2,Image 1,1,333,
17,,Surface,2,Image 1,1,334,
35,,Surface,2,Image 1,1,335,
25,,Surface,2,Image 1,1,336,
62,,Surface,2,Image 1,1,337,
8,,Surface,2,Image 1,1,338,
25,,Surface,2,Image 1,1,339,
24,,Surface,2,Image 1,1,340,
33,,Surface,2,Image 1,1,341,
44,,Surface,2,Image 1,1,342,
21,,Surface,2,Image 1,1,343,
31,,Surface,2,Image 1,1,344,
19,,Surface,2,Image 1,1,345,
51,,Surface,2,Image 1,1,346,
38,,Surface,2,Image 1,1,347,
35,,Surface,2,Image 1,1,348,
27,,Surface,2,Image 1,1,349,
17,,Surface,2,Image 1,1,350,
33,,Surface,2,Image 1,1,351,
111,,Surface,2,Image 1,1,352,
5,,Surface,2,Image 1,1,353,
87,,Surface,2,Image 1,1,354,
44,,Surface,2,Image 1,1,355,
33,,Surface,2,Image 1,1,356,
72,,Surface,2,Image 1,1,357,
23,,Surface,2,Image 1,1,358,
46,,Surface,2,Image 1,1,359,
41,,Surface,2,Image 1,1,360,
18,,Surface,2,Image 1,1,361,
29,,Surface,2,Image 1,1,362,
49,,Surface,2,Image 1,1,363,
84,,Surface,2,Image 1,1,364,
7,,Surface,2,Image 1,1,365,
20,,Surface,2,Image 1,1,366,
29,,Surface,2,Image 1,1,367,
40,,Surface,2,Image 1,1,368,
13,,Surface,2,Image 1,1,369,
39,,Surface,2,Image 1,1,370,
25,,Surface,2,Image 1,1,371,
43,,Surface,2,Image 1,1,372,
63,,Surface,2,Image 1,1,373,
33,,Surface,2,Image 1,1,374,
55,,Surface,2,Image 1,1,375,
73,,Surface,2,Image 1,1,376,
